company,origin,platform_name,founding,funding,parent,market_type,signup_type,different_web,alexa_crank,alexa_cgeo1,alexa_cgeo2,alexa_prank,alexa_pgeo1,alexa_pgeo2,sw_ctraffic_m,sw_ctraffic_s,sw_ctraffic_bounce,sw_cgeo1,sw_cgeo2,sw_ptraffic_m,sw_ptraffic_s,sw_ctraffic_bounce,sw_pgeo1,sw_pgeo2,gender_f,gender_m,age_1824,age_2534,age_3544,age_4554,age_5564,age_65,self_size,deep_platform,deep_company,web,app,qualification,training,other_crowdsource,other_freelance,translation,trascription,dataentry,labels_2D,labels_3D,digitization,debug,moderation,recordings,surveys,websearch,producttag,photography
aispotters,USA,NA,2017,NA,NA,BPO,CLOSED,NA,2692115,NA,NA,NA,NA,NA,280,111,56.52,"IND,MYS,RUS","90.63,6.9,2.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Alegion,USA,NA,2012,16100000,NA,BPO,NA,NA,611618,"USA, MYS","70.8, 14.4",NA,NA,NA,23732,6831,35.24,"MYS,COL,USA,PHL,IND,EGY,PHL,JAP,GBR,GER,BRA","38.09,24.94,12.33,6.90,4.29,3.25,0.91,0.84,0.83,0.66",NA,NA,NA,NA,NA,40.43,59.57,24.75,33.57,18.48,11.3,7.39,4.51,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Allied Data,USA,Sigtrack,NA,NA,NA,BPO,CLOSED,FALSE,294008,USA,72.5,NA,NA,NA,19950,10458,53.78,"USA,IND,PHL,ZAF,GBR,CAN,KEN,BGR,BGR,GHA","58.58,6.32,4.98,2.59,2.04,1.84,1.57,1.18",NA,NA,NA,NA,NA,47.5,52.5,25.95,29.62,18.06,12.39,8.88,5.1,NA,NA,NA,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Anolytics,IND,NA,2018,NA,NA,BPO,NA,NA,1458890,NA,NA,NA,NA,NA,2900,NA,62.51,"IND,USA,VNM,CHI,GER,BEL,NLD,ROU,AUS,AUT","32.62,18.69,13.03,6.45,4.47,2.96,2.92,1.69,1.54,1.44",NA,NA,NA,NA,NA,39.69,60.31,29.85,32.27,15.91,10.08,7.04,4.85,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
BasicAI,USA,NA,2019,NA,NA,BPO,BPO,FALSE,1430202,NA,NA,NA,NA,NA,5224,2983,60.19,"USA,GBR,IND,PRT,ITA,CZE,KOR,GER,CAN,BEL",,"13.71,8.26,7.94,5.99,5.97,4.93,4.27,4.16,3.33,3.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BeMyEye Holdings,GBR,BeMyEye,2015,NA,NA,BPO,OPEN,TRUE,711417,RUS,63.3,NA,NA,NA,37493,16812,52.78,"RUS,ITA,ESP,UKR,FRA,GER,GBR,TUR,CZE,SRB","54.07,10.79,10.21,4.37,4.03,2.55,2.03,1.94,1.13,0.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000000,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Bpeek,FRA,Bpeek,2016,NA,FMG Sales and Marketing,BPO,OPEN,TRUE,1715266,NA,NA,NA,NA,NA,383,213,62.38,FRA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70000,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Braineet,FRA,Braineet,2014,NA,NA,BPO,OPEN,FALSE,464422,NA,NA,NA,NA,NA,17130,10196,75.93,"FRA,USA,IND,AUS,GBR,NLD,CAN,MYS,ESP,DNK","22.94,13.63,7.06,5.62,5.29,4.03,3.32,3.24,2.32,2.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140094,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CapeStart,USA,NA,2013,NA,NA,BPO,CLOSED,FALSE,1935473,NA,NA,NA,NA,NA,1666,551,57.14,"IND,USA,ARE,CHI,NLD,TUR,ISR,AUS,CAN,UKR","59.78,11.28,6.25,5.77,4.18,3.33,2.8,2.62,2.46,1.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clay Sciences,USA,NA,2016,NA,NA,BPO,BPO,FALSE,5265434,NA,NA,NA,NA,NA,446,256,22.52,"USA,IND,GER,DNK,MAR,JAP,RUS","52.86,19.46,11.96,7.95,3.34,3.24,1.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
