company,origin,platform_name,founding,funding,parent,market_type,signup_type,different_web,alexa_crank,alexa_cgeo1,alexa_cgeo2,alexa_prank,alexa_pgeo1,alexa_pgeo2,sw_ctraffic_m,sw_ctraffic_s,sw_ctraffic_bounce,sw_cgeo1,sw_cgeo2,sw_ptraffic_m,sw_ptraffic_s,sw_ptraffic_bounce,sw_pgeo1,sw_pgeo2,gender_f,gender_m,age_1824,age_2534,age_3544,age_4554,age_5564,age_65,self_size,deep_platform,deep_company,web,app,qualification,training,other_crowdsource,other_freelance,translation,trascription,dataentry,labels_2D,labels_3D,digitization,debug,moderation,recordings,surveys,websearch,producttag,photography
Khivrin N.N.,RUS,2Captcha,NA,NA,MegaIndex,OPEN,OPEN,FALSE,NA,NA,NA,5990,"VEN,IND,BRA,BGD,PAK,IRN,KOR,EGY,USA,DZA,RUS,PHL,VNM,MEX,ARG,IDN,NGA,COL,CHL,DOM,PER,TUR,SRB,IRQ,UKR","19.8,13.7,6.6,4.9,4.3,3.7,3.3,3,2.7,2.6,2.1,2,1.9,1.5,1.4,1.3,1.2,1.2,1.2,1,1,0.8,0.7,0.6,0.6",NA,NA,NA,NA,NA,2277000,570532,42.54,"VEN,IND,BGD,USA,PHL,PAK,IDN,BRA,VNM,UKR","29.53,10.23,8.63,4.16,3.65,3.25,3.14,2.52,2.52,1.7",28.91,71.09,32.05,34.95,15.8,8.53,5.35,3.33,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NeoDev,PRT,Neobux,2008,NA,NA,OPEN,OPEN,FALSE,NA,NA,NA,868,"VEN,BRA,USA,RUS,IND,ARG,MEX,AGO,COL,EGY,PAK,PER,BGD,DZA,CUB,IRN,JPN,SAU,CHL,UKR,DOM,ECU,GRC,MMR,LBY,LKA,VNM,PHL,THA","24.2,7.3,6.7,6,5.8,5.1,5.1,3.5,3.1,1.9,1.7,1.6,1.5,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.1,0.9,0.8,0.7,0.6,0.6,0.5,0.5,0.5",NA,NA,NA,NA,NA,7945000,490207,15.52,"VEN,RUS,UKR,COL,ARG,IND,MEX,BRA,CZE,PER","18.5,7.32,7.27,6.77,4.85,3.47,3.38,3.3,3.04,2.72",31.92,68.08,28.79,33.93,16.87,10.08,6.55,3.79,NA,Appen,Appen,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,FALSE
Khivrin N.N.,RUS,rucaptcha,NA,NA,MegaIndex,OPEN,OPEN,FALSE,NA,NA,NA,39499,"RUS,VEN,UKR,EGY,BLR,PAK,IRN,KAZ,ARM","46.5,22.5,6.1,3,2.7,.8,1.6,1,.8",NA,NA,NA,NA,NA,732379,196429,46.47,"RUS,UKR,TKM,VEN,BLR,KAZ,USA,EST,MDA,UZB","45.42,18.91,9.51,3.74,3.69,2.02,1.97,0.99,0.95,0.88",31.15,68.85,28.36,38.31,15.23,9.13,5.86,3.1,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weblabcenter,USA,Microworkers,2009,NA,NA,OPEN,OPEN,FALSE,NA,NA,NA,10639,"SDN,VEN,USA,SAU,IND,EGY,BGD,QAT,DZA,ARG,ARE,DOM,PAK,MAR,CAN,ZAF,MEX,COL,KWT,TUR,TUN,IDN,NGA,IRQ,JOR,LKA","14.8,10.5,9.4,7.2,6.5,6.3,5,5,4.3,3,2.4,2,2,1.6,1.5,1.3,1.2,1.2,1.1,1.1,1,0.7,0.7,0.7,0.6,0.5",NA,NA,NA,NA,NA,720703,153094,15.61,"VEN,BGD,USA,IND,BRA,COL,PHL,LKA,PER,VNM","12.97,12.14,9.60,7.68,4.61,3.57,2.98,2.72,2.22,2.12",36.84,63.16,29.23,34.35,17.05,9.75,6.09,3.52,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Google,USA,Raterhub,NA,NA,Alphabet,INTERNAL,CLOSED,TRUE,NA,NA,NA,16420,"JPN,USA,IND,EGY,BRA,RUS,CAN,ISR,IDN,MYS","27.5,23.9,18.5,9.6,4,4,3.7,2,1.7,0.7",NA,NA,NA,NA,NA,2945000,136352,27.11,"USA,BRA,IND,ESP,GBR,DEU,FRA,MEX,RUS,JPN","44.32,9.45,8.66,6.65,6.64,5.95,4.76,2.32,1.88,1.23",42.75,57.25,20.57,28.36,18.33,13.64,11.2,7.89,NA,NA,NA,TRUE,FALSE,TRUE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microsoft,USA,UHRS,NA,NA,NA,INTERNAL,CLOSED,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1339000,78104,14.55,"USA,MEX,DEU,CAN,IND,FRA,GBR,BRA,PHL,ESP","47.48,10.41,6.92,6.68,6.61,4.73,3.88,3.24,1.25,0.96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE
Century Interactive,USA,Humanatic,2011,NA,M. White & Associates,BPO,OPEN,TRUE,NA,NA,NA,57928,"VEN,IND,PHL,MKD","47.3,12.5,4.2,3.1",NA,NA,NA,NA,NA,224439,50585,19.18,"VEN,PHL,USA,COL,PAK,IND,EST,MEX,PER,EGY","39.73,14,10.87,8.79,5.6,4.18,2.44,2.21,1.2,1.19",45.52,54.58,30.33,32.49,16.53,10.34,6.44,3.87,150000,NA,NA,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Uber Advanced Technologies Group,USA,Spare5,2014,27300000,Uber,INTERNAL,CLOSED,FALSE,NA,NA,NA,76672,"VEN,IND,EGY,MAR","72.1,5.4,4.9,1.2",NA,NA,NA,NA,NA,65347,23642,39.85,"VEN,USA,PHL,PAN,MEX,COL,IND,PER,BRA,GBR","53.17,6,5.42,4.22,4.17,3.46,2.21,1.66,1.28,.07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Apple,USA,TryRating,NA,NA,NA,INTERNAL,BPO,TRUE,NA,NA,NA,47967,"JPN,EGY,IND,TUR","79.8,9.5,6.1,3.1",NA,NA,NA,NA,NA,247570,18701,26.06,"USA,IND,BRA,TUR,FRA,PHL,VNM,FIN,DEU,RUS","28.76,14.75,10.94,7.28,5.33,3.76,3.43,3.28,3.01,2.18",42.45,57.55,24.73,30.76,18.05,12,8.75,5.72,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Google,USA,Crowdsource,NA,NA,NA,INTERNAL,OPEN,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79590,10127,40.06,"IND,USA,CAN,BLR,NGA,KEN,JPN,DEU,VNM,ESP","46.44,22.69,5.51,3.17,2.29,1.93,1.77,1.65,1.45,1.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
